,X,property_type,claim_id,claim_amount,property_value,pml,deductible,claim_status,payment,incident_date,payment_date,incident_type,prem,cluster,XL_lower_lim,XL_upper_lim,XL_lower_lim_%_PML,net_prem,% of risk not removed,layer_prem
16,16,house,2f4d70c7,195090,"623,000","125,000","1,000",settled,194090,22/12/2023,21/03/2024,water damage,636,,,,,,,
17,17,house,0b3aad44,218310,"515,000","103,000","1,000",denied,0,30/04/2009,NA,water damage,506,,,,,,,
18,18,house,d842a4aa,196040,"198,000","40,000","2,000",open,20000,04/12/2005,04/03/2006,theft,217,,,,,,,
19,19,house,a4749bff,210580,"361,000","72,000",500,settled,210080,01/01/2013,01/04/2013,fire,347,,,,,,,
20,20,house,1357a5af,224720,"609,000","122,000","1,000",settled,223720,10/12/2008,10/03/2009,water damage,604,,,,,,,
21,21,house,cd263a15,196940,"613,000","123,000","1,000",settled,195940,06/02/2010,07/05/2010,fire,601,,,,,,,
22,22,house,90e32252,182480,"379,000","76,000","2,000",settled,180480,11/11/2016,09/02/2017,fire,388,,,,,,,
23,23,house,3eb87596,222380,"363,000","73,000","1,000",settled,221380,31/03/2008,29/06/2008,fire,377,,,,,,,
24,24,house,8a67e2a4,200630,"649,000","130,000","2,000",settled,198630,13/02/2007,14/05/2007,nat cat,659,,,,,,,
25,25,house,9e246bc8,195130,"366,000","73,000",500,settled,194630,03/07/2023,01/10/2023,fire,364,,,,,,,
26,26,house,2ac5c3b7,205280,"353,000","71,000","1,000",settled,204280,24/06/2020,22/09/2020,water damage,339,,,,,,,
27,27,house,cf901b66,183110,"609,000","122,000",500,settled,182610,25/06/2006,23/09/2006,water damage,596,,,,,,,
28,28,house,9de62cd3,186560,"424,000","85,000","5,000",settled,181560,21/06/2008,19/09/2008,fire,444,,,,,,,
29,29,house,7099e770,184570,"345,000","69,000","1,000",settled,183570,23/03/2016,21/06/2016,water damage,353,,,,,,,
30,30,house,1be37e60,180250,"552,000","110,000","5,000",open,20000,03/03/2014,01/06/2014,theft,565,,,,,,,
31,31,house,a2231633,207030,"359,000","72,000","2,000",settled,205030,30/03/2010,28/06/2010,fire,339,,,,,,,
32,32,house,5d496b84,203270,3e+05,"60,000","1,000",settled,202270,14/03/2013,12/06/2013,nat cat,289,,,,,,,
33,33,house,dd8aa46d,201710,"574,000","115,000","5,000",settled,196710,12/02/2013,13/05/2013,fire,584,,,,,,,
34,34,house,c45e7553,192820,"352,000","70,000","5,000",settled,187820,18/11/2021,16/02/2022,water damage,352,,,,,,,
35,35,house,d79e0490,187820,"215,000","43,000",500,denied,0,27/10/2005,NA,fire,229,,,,,,,
36,36,house,dafad15a,175380,"437,000","87,000",500,settled,174880,20/09/2013,19/12/2013,water damage,427,,,,,,,
37,37,house,be5d7273,175990,"370,000","74,000","5,000",settled,170990,07/11/2022,05/02/2023,water damage,363,,,,,,,
38,38,house,9b21802f,196190,"774,000","155,000","5,000",settled,191190,13/11/2004,11/02/2005,fire,771,,,,,,,
39,39,house,d8260125,185870,"497,000","99,000","1,000",settled,184870,10/06/2016,08/09/2016,fire,513,,,,,,,
40,40,house,62f5ae43,176200,"351,000","70,000",500,under investigation,0,18/05/2007,NA,water damage,346,,,,,,,
41,41,house,11018fa5,188620,"129,000","26,000","1,000",under investigation,0,23/03/2006,NA,nat cat,135,,,,,,,
42,42,house,c1865fe6,210690,"431,000","86,000","1,000",settled,209690,15/10/2021,13/01/2022,fire,426,,,,,,,
43,43,house,99642d2a,189710,"413,000","83,000","5,000",settled,184710,31/08/2013,29/11/2013,other,429,,,,,,,
44,44,house,b6d8d62f,218470,"339,000","68,000",500,settled,217970,27/04/2006,26/07/2006,fire,333,,,,,,,
45,45,house,851f45c3,189970,"473,000","95,000","1,000",settled,188970,29/06/2010,27/09/2010,water damage,469,,,,,,,
46,46,house,e18124aa,211190,"598,000","120,000","2,000",under investigation,0,13/06/2007,NA,water damage,605,,,,,,,
47,47,house,9ea4e063,200620,"488,000","98,000","1,000",denied,0,25/06/2022,NA,nat cat,475,,,,,,,
48,48,house,010ea76e,185360,"447,000","89,000",500,denied,0,19/12/2004,NA,nat cat,458,,,,,,,
49,49,house,f59effaa,211450,"548,000","110,000","2,000",settled,209450,30/05/2017,28/08/2017,fire,544,,,,,,,
50,50,house,d36ebb3e,219810,"492,000","98,000","1,000",settled,218810,11/03/2008,09/06/2008,nat cat,510,,,,,,,
51,51,house,6f38ec89,219160,"501,000",1e+05,"5,000",denied,0,21/01/2005,NA,water damage,508,,,,,,,
52,52,house,e8644ecd,217150,"555,000","111,000","2,000",settled,215150,06/10/2011,04/01/2012,fire,552,,,,,,,
53,53,house,17a3c821,196790,"290,000","58,000","1,000",under investigation,0,10/04/2007,NA,fire,274,,,,,,,
54,54,house,888c0d12,197390,"292,000","58,000","2,000",settled,195390,22/12/2019,21/03/2020,nat cat,285,,,,,,,
55,55,house,a2033324,213190,"467,000","93,000",500,open,20000,30/07/2006,28/10/2006,theft,451,,,,,,,
56,56,house,0533ec5b,188570,"192,000","38,000","1,000",settled,187570,29/01/2004,28/04/2004,water damage,195,,,,,,,
57,57,house,24456f02,238570,"336,000","67,000",500,under investigation,0,13/09/2020,NA,fire,341,,,,,,,
58,58,house,78f5b56a,207640,"644,000","129,000",500,settled,207140,15/05/2006,13/08/2006,other,662,,,,,,,
59,59,house,c6de1e62,218760,"537,000","107,000",500,settled,218260,04/12/2018,04/03/2019,water damage,554,,,,,,,
60,60,house,19fb26ce,191510,"473,000","95,000","5,000",under investigation,0,23/09/2008,NA,fire,474,,,,,,,
61,61,house,774b4775,184740,"473,000","95,000",500,settled,184240,26/11/2023,24/02/2024,fire,492,,,,,,,
62,62,house,ac4238c6,184860,"240,000","48,000",500,settled,184360,05/10/2004,03/01/2005,fire,235,,,,,,,
63,63,house,2d40c6df,180970,"305,000","61,000","5,000",denied,0,06/08/2021,NA,nat cat,296,,,,,,,
64,64,house,c088eda5,210030,"523,000","105,000",500,settled,209530,09/04/2009,08/07/2009,nat cat,533,,,,,,,
65,65,house,7ea8ea5b,189330,"492,000","98,000","2,000",under investigation,0,28/05/2006,NA,nat cat,498,,,,,,,
66,66,house,e2f041d2,199210,"383,000","77,000","5,000",settled,194210,01/03/2017,30/05/2017,fire,368,,,,,,,
67,67,house,e1c75ae9,192150,"630,000","126,000","5,000",settled,187150,03/05/2023,01/08/2023,fire,615,,,,,,,
68,68,house,188c563b,169920,"42,000","8,000","5,000",under investigation,0,14/05/2008,NA,water damage,47,,,,,,,
69,69,house,3cb85b06,2e+05,"603,000","121,000",500,settled,199500,17/01/2005,17/04/2005,fire,597,,,,,,,
70,70,house,a56d4ee1,188530,"604,000","121,000","2,000",settled,186530,13/10/2015,11/01/2016,fire,591,,,,,,,
71,71,house,bc6506ea,192160,"381,000","76,000","2,000",settled,190160,29/11/2018,27/02/2019,fire,380,,,,,,,
72,72,house,56bae187,189790,"303,000","61,000","2,000",settled,187790,24/08/2005,22/11/2005,water damage,308,,,,,,,
73,73,house,9756714f,215670,"698,000","140,000",500,settled,215170,28/06/2008,26/09/2008,fire,684,,,,,,,
74,74,house,94d1ec10,190210,"661,000","132,000","2,000",settled,188210,14/08/2022,12/11/2022,fire,660,,,,,,,
75,75,house,09f2e0f3,200460,"315,000","63,000","5,000",settled,195460,24/03/2012,22/06/2012,fire,302,,,,,,,
76,76,house,7c7afc28,181050,"574,000","115,000",500,under investigation,0,09/11/2008,NA,other,557,,,,,,,
77,77,house,474c5691,196280,"640,000","128,000","5,000",settled,191280,07/01/2005,07/04/2005,nat cat,656,,,,,,,
78,78,house,ab2234b2,202280,"397,000","79,000",500,settled,201780,09/03/2008,07/06/2008,water damage,397,,,,,,,
79,79,house,456b2a2d,206700,"540,000","108,000","5,000",settled,201700,26/01/2009,26/04/2009,other,548,,,,,,,
80,80,house,a4b9376a,221260,"568,000","114,000","1,000",settled,220260,10/05/2011,08/08/2011,fire,579,,,,,,,
81,81,house,816a296a,183300,"355,000","71,000","1,000",settled,182300,31/10/2013,29/01/2014,nat cat,359,,,,,,,
82,82,house,5df777d7,191740,"585,000","117,000","1,000",settled,190740,17/06/2017,15/09/2017,water damage,578,,,,,,,
83,83,house,49ab6a2d,219430,"231,000","46,000",500,settled,218930,01/10/2016,30/12/2016,water damage,233,,,,,,,
84,84,house,209dcf94,210820,"306,000","61,000","5,000",under investigation,0,24/10/2020,NA,fire,294,,,,,,,
85,85,house,51ac1289,215270,"604,000","121,000",500,open,20000,14/07/2005,12/10/2005,theft,597,,,,,,,
86,86,house,ca447bba,203720,"235,000","47,000","1,000",settled,202720,04/11/2022,02/02/2023,water damage,216,,,,,,,
87,87,house,a84ed281,207980,"384,000","77,000","2,000",settled,205980,04/04/2008,03/07/2008,water damage,390,,,,,,,
88,88,house,6bf25345,197470,"329,000","66,000","1,000",settled,196470,30/08/2021,28/11/2021,water damage,317,,,,,,,
89,89,house,1edb777b,185130,"129,000","26,000","1,000",under investigation,0,17/06/2023,NA,fire,116,,,,,,,
90,90,house,2c73a4c7,177490,"451,000","90,000","2,000",settled,175490,05/12/2012,05/03/2013,water damage,460,,,,,,,
91,91,house,bcfc616f,191120,"149,000","30,000","2,000",settled,189120,22/10/2010,20/01/2011,fire,131,,,,,,,
92,92,house,8783c95d,212920,"511,000","102,000","1,000",settled,211920,27/07/2015,25/10/2015,fire,501,,,,,,,
93,93,house,44de87fd,213250,"644,000","129,000","5,000",settled,208250,14/04/2014,13/07/2014,other,662,,,,,,,
94,94,house,22f8975b,208090,"312,000","62,000",500,settled,207590,04/01/2017,04/04/2017,nat cat,294,,,,,,,
95,95,house,f54a975d,199360,"547,000","109,000",500,under investigation,0,30/10/2013,NA,other,533,,,,,,,
96,96,house,80fbd24e,191110,"392,000","78,000","5,000",open,20000,14/03/2023,12/06/2023,theft,407,,,,,,,
97,97,house,1ce8dded,180080,"342,000","68,000","1,000",settled,179080,26/06/2012,24/09/2012,water damage,338,,,,,,,
98,98,house,f0b7669a,194800,"259,000","52,000",500,settled,194300,11/07/2015,09/10/2015,fire,259,,,,,,,
99,99,house,58d1d83c,190940,"494,000","99,000","1,000",denied,0,02/10/2019,NA,water damage,483,,,,,,,
100,100,house,33bf1520,178620,"440,000","88,000","5,000",denied,0,24/08/2013,NA,nat cat,427,,,,,,,
101,101,house,6ce93395,205590,"789,000","158,000","2,000",open,20000,09/05/2016,07/08/2016,theft,789,,,,,,,
102,102,house,7425291d,220830,"59,000","12,000","5,000",under investigation,0,27/06/2019,NA,fire,47,,,,,,,
103,103,house,544f60ad,228430,"551,000","110,000","1,000",open,20000,01/07/2012,29/09/2012,theft,533,,,,,,,
104,104,house,89e13b7f,190360,"624,000","125,000","1,000",settled,189360,08/04/2022,07/07/2022,fire,634,,,,,,,
105,105,house,cea2e8ff,204310,"394,000","79,000","5,000",settled,199310,15/05/2020,13/08/2020,fire,390,,,,,,,
106,106,house,10be38df,186460,"423,000","85,000",500,settled,185960,13/07/2017,11/10/2017,nat cat,412,,,,,,,
107,107,house,672cc1b3,224560,"272,000","54,000","2,000",under investigation,0,13/10/2004,NA,water damage,279,,,,,,,
108,108,house,756d48ea,210380,"561,000","112,000",500,under investigation,0,24/10/2013,NA,water damage,573,,,,,,,
109,109,house,d21470d7,207730,"744,000","149,000","5,000",settled,202730,19/11/2018,17/02/2019,nat cat,755,,,,,,,
110,110,house,44d4a728,222520,"305,000","61,000","2,000",settled,220520,22/05/2008,20/08/2008,other,311,,,,,,,
111,111,house,548889fe,212540,"371,000","74,000","1,000",denied,0,26/07/2006,NA,water damage,361,,,,,,,
112,112,house,fd643125,220670,"183,000","37,000","1,000",settled,219670,06/05/2023,04/08/2023,fire,193,,,,,,,
113,113,house,528aa262,225230,"588,000","118,000","2,000",under investigation,0,18/10/2004,NA,water damage,596,,,,,,,
114,114,house,9ff112d6,205920,"467,000","93,000","1,000",under investigation,0,28/02/2012,NA,other,483,,,,,,,
115,115,house,dd57c016,198280,"528,000","106,000","2,000",under investigation,0,14/07/2020,NA,fire,514,,,,,,,
116,116,house,97821376,204950,"533,000","107,000","1,000",open,20000,16/09/2005,15/12/2005,theft,523,,,,,,,
117,117,house,8cb6fa22,217010,"499,000",1e+05,"2,000",settled,215010,10/11/2008,08/02/2009,nat cat,503,,,,,,,
118,118,house,de0b4794,216090,"289,000","58,000","5,000",settled,211090,05/10/2018,03/01/2019,nat cat,304,,,,,,,
119,119,house,33537cbf,202590,"625,000","125,000","5,000",settled,197590,06/04/2005,05/07/2005,fire,637,,,,,,,
120,120,house,4498fec1,201740,"310,000","62,000","2,000",under investigation,0,04/12/2022,NA,fire,300,,,,,,,
121,121,house,74478a65,182980,"359,000","72,000","1,000",settled,181980,27/01/2007,27/04/2007,fire,360,,,,,,,
122,122,house,292ceb9f,201680,"283,000","57,000","5,000",under investigation,0,07/07/2012,NA,water damage,283,,,,,,,
123,123,house,86020b37,185740,"778,000","156,000","2,000",settled,183740,13/11/2004,11/02/2005,water damage,764,,,,,,,
124,124,house,f69c58cd,217180,"482,000","96,000","2,000",settled,215180,04/12/2020,04/03/2021,other,472,,,,,,,
125,125,house,0c456348,177730,"588,000","118,000","2,000",settled,175730,23/09/2015,22/12/2015,fire,583,,,,,,,
126,126,house,c70db351,209890,"344,000","69,000","5,000",under investigation,0,12/02/2023,NA,nat cat,356,,,,,,,
127,127,house,35c188b1,215850,"575,000","115,000","5,000",settled,210850,11/09/2012,10/12/2012,water damage,587,,,,,,,
128,128,house,023826d0,199860,"273,000","55,000",500,under investigation,0,15/10/2014,NA,fire,290,,,,,,,
129,129,house,44df4c49,193220,"444,000","89,000",500,settled,192720,22/06/2023,20/09/2023,fire,430,,,,,,,
130,130,house,b8809e4f,235550,"437,000","87,000",500,settled,235050,21/08/2022,19/11/2022,other,454,,,,,,,
131,131,house,971bb490,179420,"213,000","43,000","5,000",settled,174420,27/11/2004,25/02/2005,fire,198,,,,,,,
132,132,house,51058ea4,206640,"490,000","98,000","1,000",under investigation,0,12/04/2006,NA,fire,506,,,,,,,
133,133,house,44354c16,198760,"579,000","116,000",500,denied,0,18/06/2022,NA,water damage,568,,,,,,,
134,134,house,ccee2e50,190260,"420,000","84,000","1,000",settled,189260,04/11/2021,02/02/2022,fire,417,,,,,,,
135,135,house,fd165e1b,177550,"485,000","97,000",500,settled,177050,11/02/2007,12/05/2007,water damage,489,,,,,,,
136,136,house,48e46a53,232300,"274,000","55,000","5,000",settled,227300,11/10/2013,09/01/2014,fire,276,,,,,,,
137,137,house,96179795,191360,"541,000","108,000","5,000",under investigation,0,27/11/2020,NA,fire,539,,,,,,,
138,138,house,6b341582,180270,"246,000","49,000",500,open,20000,19/05/2016,17/08/2016,theft,259,,,,,,,
139,139,house,434c9c52,203450,"151,000","30,000","5,000",settled,198450,03/01/2005,03/04/2005,fire,155,,,,,,,
140,140,house,faee999e,210330,"603,000","121,000","2,000",under investigation,0,07/01/2012,NA,fire,616,,,,,,,
141,141,house,47b54062,201260,"352,000","70,000","1,000",settled,200260,29/03/2022,27/06/2022,nat cat,367,,,,,,,
142,142,house,df266d81,179510,"596,000","119,000","2,000",under investigation,0,18/03/2009,NA,fire,585,,,,,,,
143,143,house,400bf351,197330,"370,000","74,000",500,denied,0,19/10/2021,NA,fire,368,,,,,,,
144,144,house,9077852e,190520,"572,000","114,000",500,settled,190020,02/03/2005,31/05/2005,fire,588,,,,,,,
145,145,house,27977684,175630,"442,000","88,000","2,000",settled,173630,19/06/2023,17/09/2023,fire,462,,,,,,,
146,146,house,a8b81863,168140,"521,000","104,000","2,000",settled,166140,26/10/2023,24/01/2024,nat cat,536,,,,,,,
147,147,house,29a4e99f,181310,"382,000","76,000","1,000",settled,180310,05/08/2018,03/11/2018,water damage,391,,,,,,,
148,148,house,a44fe406,184980,"180,000","36,000",500,settled,184480,09/05/2012,07/08/2012,other,160,,,,,,,
149,149,house,844404dc,202210,"469,000","94,000","2,000",under investigation,0,31/05/2005,NA,water damage,485,,,,,,,
150,150,house,3f1f1160,202870,"455,000","91,000",500,settled,202370,07/08/2008,05/11/2008,water damage,455,,,,,,,
151,151,house,dbf64dd8,221890,"670,000","134,000","2,000",settled,219890,25/03/2023,23/06/2023,water damage,661,,,,,,,
152,152,house,046e1de2,195240,"269,000","54,000","2,000",settled,193240,31/01/2013,01/05/2013,fire,264,,,,,,,
153,153,house,0b03cec5,194970,"515,000","103,000","5,000",settled,189970,08/03/2016,06/06/2016,water damage,502,,,,,,,
154,154,house,2c84508e,203110,"349,000","70,000","2,000",settled,201110,03/10/2011,01/01/2012,fire,335,,,,,,,
155,155,house,04d88fdb,227660,"342,000","68,000",500,under investigation,0,20/10/2023,NA,fire,335,,,,,,,
156,156,house,07b70248,227720,"302,000","60,000","1,000",settled,226720,30/05/2023,28/08/2023,fire,318,,,,,,,
157,157,house,5c559433,208030,"355,000","71,000","2,000",settled,206030,14/10/2015,12/01/2016,other,341,,,,,,,
158,158,house,385e926f,184660,"394,000","79,000","1,000",settled,183660,28/01/2009,28/04/2009,fire,387,,,,,,,
159,159,house,90ce6a6e,220440,"507,000","101,000","5,000",under investigation,0,19/11/2012,NA,other,500,,,,,,,
160,160,house,86329c8f,182900,"371,000","74,000","2,000",settled,180900,17/06/2006,15/09/2006,fire,355,,,,,,,
161,161,house,09d5df54,202690,"517,000","103,000","1,000",open,20000,04/07/2010,02/10/2010,theft,514,,,,,,,
162,162,house,8c8906ab,187160,"648,000","130,000","1,000",under investigation,0,20/08/2014,NA,fire,652,,,,,,,
163,163,house,12ec09bf,227470,"438,000","88,000","2,000",settled,225470,10/04/2009,09/07/2009,fire,449,,,,,,,
164,164,house,9fe833ad,227030,"364,000","73,000",500,settled,226530,26/03/2014,24/06/2014,fire,348,,,,,,,
165,165,house,e902bae1,210350,"718,000","144,000","5,000",under investigation,0,08/12/2013,NA,water damage,707,,,,,,,
166,166,house,b746bc63,237390,"338,000","68,000","5,000",settled,232390,16/03/2006,14/06/2006,fire,352,,,,,,,
167,167,house,6f56d048,183020,"549,000","110,000",500,settled,182520,22/10/2022,20/01/2023,fire,549,,,,,,,
168,168,house,44f0e480,166850,"390,000","78,000","5,000",settled,161850,22/01/2022,22/04/2022,fire,390,,,,,,,
169,169,house,55550678,197450,"422,000","84,000","2,000",open,20000,22/09/2020,21/12/2020,theft,414,,,,,,,
170,170,house,982061b0,222390,"454,000","91,000",500,settled,221890,24/02/2016,24/05/2016,fire,438,,,,,,,
171,171,house,2d0a2af3,196750,"549,000","110,000","5,000",settled,191750,25/04/2010,24/07/2010,water damage,541,,,,,,,
172,172,house,f76f9e20,203680,"640,000","128,000","5,000",settled,198680,28/09/2022,27/12/2022,other,638,,,,,,,
173,173,house,f7c6d02f,224520,"438,000","88,000","2,000",settled,222520,12/12/2006,12/03/2007,fire,420,,,,,,,
174,174,house,1443e0b2,207680,"329,000","66,000","5,000",under investigation,0,31/07/2019,NA,fire,310,,,,,,,
175,175,house,a7753ebd,188800,"204,000","41,000",500,settled,188300,23/05/2008,21/08/2008,water damage,204,,,,,,,
176,176,house,6d84dd89,180900,"412,000","82,000","5,000",settled,175900,20/04/2017,19/07/2017,water damage,428,,,,,,,
177,177,house,bd501236,190720,"227,000","45,000","2,000",under investigation,0,07/04/2017,NA,nat cat,228,,,,,,,
178,178,house,4fd4ead9,203550,"713,000","143,000","2,000",settled,201550,27/02/2006,28/05/2006,nat cat,720,,,,,,,
179,179,house,f0df7fe8,208030,"340,000","68,000","5,000",settled,203030,20/04/2007,19/07/2007,nat cat,329,,,,,,,
180,180,house,86ee4283,223720,"530,000","106,000","5,000",settled,218720,29/09/2009,28/12/2009,water damage,545,,,,,,,
181,181,house,7b8bd393,205760,"422,000","84,000","5,000",settled,200760,29/04/2017,28/07/2017,water damage,441,,,,,,,
182,182,house,df3386f7,196790,"316,000","63,000","2,000",settled,194790,02/05/2013,31/07/2013,water damage,308,,,,,,,
183,183,house,1b3fd948,194090,"309,000","62,000",500,settled,193590,16/11/2017,14/02/2018,fire,300,,,,,,,
184,184,house,1b4e84f4,191220,4e+05,"80,000",500,settled,190720,10/12/2010,10/03/2011,nat cat,395,,,,,,,
185,185,house,a99bb308,197080,"439,000","88,000","2,000",denied,0,19/09/2011,NA,water damage,429,,,,,,,
186,186,house,f22474db,194470,"516,000","103,000","5,000",open,20000,10/07/2008,08/10/2008,theft,509,,,,,,,
187,187,house,0521bc5b,187320,"504,000","101,000",500,settled,186820,17/06/2021,15/09/2021,other,502,,,,,,,
188,188,house,2cf06929,206930,"403,000","81,000","1,000",settled,205930,06/06/2022,04/09/2022,water damage,418,,,,,,,
189,189,house,98b0af61,217440,"723,000","145,000","1,000",settled,216440,30/09/2010,29/12/2010,water damage,743,,,,,,,
190,190,house,1b69a111,194990,"128,000","26,000","1,000",settled,193990,02/11/2008,31/01/2009,water damage,118,,,,,,,
191,191,house,f9541d3a,182750,"552,000","110,000","1,000",settled,181750,02/08/2023,31/10/2023,nat cat,558,,,,,,,
192,192,house,34d80eb1,213090,"376,000","75,000","5,000",open,20000,10/07/2012,08/10/2012,theft,383,,,,,,,
193,193,house,220a2455,179900,"276,000","55,000","5,000",settled,174900,17/09/2023,16/12/2023,fire,277,,,,,,,
194,194,house,aa178a97,200780,"642,000","128,000","2,000",settled,198780,23/08/2008,21/11/2008,water damage,634,,,,,,,
195,195,house,8dd17fe4,216810,"393,000","79,000",500,settled,216310,31/08/2010,29/11/2010,fire,377,,,,,,,
196,196,house,96d3194b,192390,"473,000","95,000",500,denied,0,03/09/2017,NA,water damage,473,,,,,,,
197,197,house,90a95af8,185700,"257,000","51,000",500,under investigation,0,23/09/2023,NA,water damage,248,,,,,,,
198,198,house,9c0fbdb8,199310,"712,000","142,000","5,000",settled,194310,05/09/2008,04/12/2008,fire,708,,,,,,,
199,199,house,b0afd1fe,195560,"742,000","148,000","2,000",under investigation,0,30/07/2023,NA,other,750,,,,,,,
200,200,house,3235737c,188840,"458,000","92,000","2,000",settled,186840,14/06/2014,12/09/2014,fire,438,,,,,,,
201,201,house,db863a6e,222140,"222,000","44,000","2,000",open,20000,26/06/2006,24/09/2006,theft,225,,,,,,,
202,202,house,091e5d28,173460,"414,000","83,000",500,settled,172960,28/10/2007,26/01/2008,water damage,432,,,,,,,
203,203,house,87e28cb8,216900,"299,000","60,000","1,000",settled,215900,14/10/2022,12/01/2023,fire,307,,,,,,,
204,204,house,809e194f,202250,"337,000","67,000","5,000",under investigation,0,04/07/2005,NA,water damage,346,,,,,,,
205,205,house,6e142e5f,193140,"618,000","124,000","5,000",settled,188140,16/03/2023,14/06/2023,fire,635,,,,,,,
206,206,house,28bfb4f9,191390,"575,000","115,000",500,under investigation,0,13/03/2023,NA,nat cat,585,,,,,,,
207,207,house,9403917f,216690,"224,000","45,000",500,settled,216190,06/07/2009,04/10/2009,water damage,209,,,,,,,
208,208,house,7a208e10,202450,"494,000","99,000","2,000",open,20000,02/10/2007,31/12/2007,theft,483,,,,,,,
209,209,house,e11f4ad7,207190,"454,000","91,000","2,000",settled,205190,01/01/2008,31/03/2008,nat cat,454,,,,,,,
210,210,house,c9816606,195260,"529,000","106,000","1,000",under investigation,0,08/06/2016,NA,nat cat,521,,,,,,,
211,211,house,8d45e624,211060,"422,000","84,000","5,000",settled,206060,05/06/2010,03/09/2010,water damage,425,,,,,,,
212,212,house,c33c3cbd,209360,"299,000","60,000",500,settled,208860,07/07/2011,05/10/2011,other,299,,,,,,,
213,213,house,8c13b7d0,190900,"507,000","101,000","2,000",under investigation,0,09/08/2019,NA,water damage,524,,,,,,,
214,214,house,6ba6dbee,195720,"645,000","129,000",500,denied,0,22/08/2010,NA,other,659,,,,,,,
215,215,house,404877f2,207550,"465,000","93,000",500,open,20000,15/09/2022,14/12/2022,theft,476,,,,,,,
216,216,house,1b52352f,209270,"185,000","37,000","2,000",settled,207270,24/01/2009,24/04/2009,nat cat,175,,,,,,,
217,217,house,b8880f72,233490,"655,000","131,000","1,000",settled,232490,23/03/2004,21/06/2004,water damage,670,,,,,,,
218,218,house,f4f19cc8,192040,"222,000","44,000","5,000",settled,187040,31/12/2004,31/03/2005,nat cat,210,,,,,,,
219,219,house,bf153b58,199990,"406,000","81,000","5,000",denied,0,03/09/2006,NA,fire,411,,,,,,,
220,220,house,b23442bd,197120,"436,000","87,000","1,000",settled,196120,19/01/2004,18/04/2004,other,447,,,,,,,
221,221,house,a1101991,210920,"210,000","42,000","1,000",settled,209920,30/10/2019,28/01/2020,water damage,219,,,,,,,
222,222,house,5d195f16,194010,"55,000","11,000","2,000",under investigation,0,30/09/2015,NA,water damage,41,,,,,,,
223,223,house,11487a80,197730,"592,000","118,000","1,000",open,20000,05/04/2020,04/07/2020,theft,590,,,,,,,
224,224,house,d930e77e,183570,"405,000","81,000","2,000",settled,181570,22/10/2014,20/01/2015,nat cat,418,,,,,,,
225,225,house,961ffd88,220200,"245,000","49,000","2,000",settled,218200,16/03/2023,14/06/2023,fire,248,,,,,,,
226,226,house,e21a74d1,197460,"208,000","42,000","1,000",settled,196460,25/10/2019,23/01/2020,water damage,194,,,,,,,
227,227,house,1076de84,216700,"273,000","55,000","5,000",settled,211700,09/03/2006,07/06/2006,nat cat,268,,,,,,,
228,228,house,0b29f455,198430,"499,000",1e+05,"2,000",settled,196430,26/12/2018,26/03/2019,other,514,,,,,,,
229,229,house,eb42e936,213570,"474,000","95,000","1,000",open,20000,29/08/2017,27/11/2017,theft,456,,,,,,,
230,230,house,4b969ec7,215070,"912,000","182,000","2,000",settled,213070,06/09/2009,05/12/2009,fire,907,,,,,,,
231,231,house,30ad6f31,194390,"623,000","125,000","1,000",settled,193390,25/04/2015,24/07/2015,other,619,,,,,,,
